round,train_acc,val_acc,test_acc,dataset,model,method,seed,mean_client_test_acc
1,0.3929673041332511,0.39332096474953615,0.3886861313868613,Cora,gcn,centralized,0,
2,0.45589142504626773,0.4267161410018553,0.4324817518248175,Cora,gcn,centralized,0,
3,0.6471314003701419,0.5974025974025974,0.593065693430657,Cora,gcn,centralized,0,
4,0.7896360271437385,0.7421150278293135,0.7536496350364964,Cora,gcn,centralized,0,
5,0.8568784700801975,0.8126159554730983,0.833941605839416,Cora,gcn,centralized,0,
6,0.8815545959284392,0.8330241187384044,0.8485401459854015,Cora,gcn,centralized,0,
7,0.8975940777297964,0.8404452690166976,0.864963503649635,Cora,gcn,centralized,0,
8,0.9062307217766811,0.8552875695732839,0.8759124087591241,Cora,gcn,centralized,0,
9,0.9117828500925355,0.8571428571428571,0.8832116788321168,Cora,gcn,centralized,0,
10,0.9142504626773597,0.8571428571428571,0.8868613138686131,Cora,gcn,centralized,0,
11,0.917951881554596,0.8608534322820037,0.8905109489051095,Cora,gcn,centralized,0,
12,0.9210363972856261,0.8608534322820037,0.8868613138686131,Cora,gcn,centralized,0,
13,0.9235040098704503,0.8645640074211502,0.8868613138686131,Cora,gcn,centralized,0,
14,0.9241209130166563,0.8645640074211502,0.8905109489051095,Cora,gcn,centralized,0,
15,0.9272054287476866,0.8682745825602969,0.8941605839416058,Cora,gcn,centralized,0,
16,0.933374460209747,0.8719851576994434,0.8886861313868614,Cora,gcn,centralized,0,
17,0.9370758790869833,0.87569573283859,0.8905109489051095,Cora,gcn,centralized,0,
18,0.9401603948180136,0.87569573283859,0.8813868613138686,Cora,gcn,centralized,0,
19,0.9438618136952498,0.8738404452690167,0.8813868613138686,Cora,gcn,centralized,0,
20,0.946329426280074,0.8794063079777366,0.8777372262773723,Cora,gcn,centralized,0,
21,0.9500308451573103,0.87569573283859,0.8813868613138686,Cora,gcn,centralized,0,
22,0.9518815545959285,0.8775510204081632,0.8832116788321168,Cora,gcn,centralized,0,
23,0.9524984577421345,0.87569573283859,0.8832116788321168,Cora,gcn,centralized,0,
24,0.9531153608883405,0.8719851576994434,0.8795620437956204,Cora,gcn,centralized,0,
25,0.9555829734731647,0.8738404452690167,0.8813868613138686,Cora,gcn,centralized,0,
26,0.9561998766193708,0.8738404452690167,0.8813868613138686,Cora,gcn,centralized,0,
27,0.958667489204195,0.87569573283859,0.885036496350365,Cora,gcn,centralized,0,
28,0.9623689080814312,0.8794063079777366,0.885036496350365,Cora,gcn,centralized,0,
29,0.9636027143738433,0.8849721706864564,0.8795620437956204,Cora,gcn,centralized,0,
30,0.9648365206662554,0.8812615955473099,0.8813868613138686,Cora,gcn,centralized,0,
31,0.9642196175200494,0.8849721706864564,0.8795620437956204,Cora,gcn,centralized,0,
32,0.9654534238124615,0.8831168831168831,0.8759124087591241,Cora,gcn,centralized,0,
33,0.9673041332510796,0.8831168831168831,0.8759124087591241,Cora,gcn,centralized,0,
34,0.9654534238124615,0.8682745825602969,0.8777372262773723,Cora,gcn,centralized,0,
35,0.9666872301048736,0.8664192949907236,0.8795620437956204,Cora,gcn,centralized,0,
36,0.9703886489821099,0.8664192949907236,0.8813868613138686,Cora,gcn,centralized,0,
